feature,importance_mean,importance_std
Vader_Compound,0.06075349608278301,0.002866451133536994
TB_Polarity,0.04113468274552799,0.001314417903457723
Vader_Neg,0.019327468648894418,0.002087715265169874
Vader_Pos,0.011902136420759957,0.002138844007885872
TB_Subjectivity,0.0073662932163961695,0.0013632795150843387
Reviewer_Review_Count,0.007195379555603121,0.0008036291625529542
Review_Len_Words,0.006961683467472435,0.0008799847665463137
kw_recommend,0.006874087542447704,0.0017148678474146813
Review_Velocity,0.003938821893633549,0.0010428100627937762
Review_Quality_Score,0.0033414797187090615,0.0005393184881097487
Review_Length_x_Sentiment,0.0031017941656194203,0.0008222820607634686
Caps_Ratio,0.002386801786144077,0.0007222503736418409
Review_Len_Chars,0.001972673066124775,0.0006592235712877957
Pictures,0.001129548918420309,0.00041030111457782695
Reviewer_Follower_Count,0.001117142169576768,0.0005194506788835486
Days_Since_First_Review,0.0010907243509185372,0.0008159252251988163
kw_ambience,0.0010678360383967966,0.00015373097309358185
kw_service,0.0010032353806251782,0.0005563087678522701
kw_value,0.0006871841493088282,0.0004308614638068469
Review_DayOfWeek,0.0006532794994519309,0.0003907388197259497
kw_taste,0.0006315676889756649,0.00025743372867486003
Exclamation_Count,0.0006283590470333555,0.00048494111461348593
kw_rude,0.0005824754672584698,0.0003826239406981997
Reviewer_Review_Count_Missing,0.00055605764860025,0.00017774219192630145
kw_spicy,0.0004497446455787757,0.00023788917908206536
Is_Power_Reviewer,0.0003027888446215599,0.0001374103591378045
Review_Month,0.00023048744618840987,0.000475962074140927
Review_Hour,0.00018866814620712712,0.0006255905029356798
Is_Dinner,0.00010171394957085856,0.0001543482772597293
Is_Lunch,2.4706542955732492e-05,0.00011362947377371338
Reviewer_Follower_Count_Missing,2.2032674670491303e-05,2.5927203502247857e-05
Review_Year,1.1871975186539263e-05,0.0001401983980730796
Is_Weekend,0.0,0.0
Review_Length,0.0,0.0
kw_wait,-4.706008182029375e-05,0.00011389950776296685
Question_Count,-0.00022289366025829427,0.00016126290934475966
